fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-04-30,DL,DL,DL,1693,DL,N904DA,1693,14492,RDU,"Raleigh/Durham, NC",13487,MSP,"Minneapolis, MN",600,554.0,-6.0,13.0,607.0,731.0,3.0,750,734.0,-16.0,0.0,,0.0,N,170.0,160.0,144.0,1.0,980.0,,,,,,,,,
2019-07-29,AA,AA_CODESHARE,AA,4248,MQ,N698CB,4248,14814,SHV,"Shreveport, LA",11298,DFW,"Dallas/Fort Worth, TX",1027,1015.0,-12.0,12.0,1027.0,1107.0,10.0,1140,1117.0,-23.0,0.0,,0.0,N,73.0,62.0,40.0,1.0,190.0,,,,,,,,,
2018-07-17,UA,UA,UA,533,UA,N828UA,533,13930,ORD,"Chicago, IL",12953,LGA,"New York, NY",1600,1800.0,120.0,47.0,1847.0,2147.0,4.0,1915,2151.0,156.0,0.0,,0.0,N,135.0,171.0,120.0,1.0,733.0,0.0,0.0,156.0,0.0,0.0,,,,
2019-10-30,DL,DL,DL,897,DL,N699DL,897,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",1255,1248.0,-7.0,14.0,1302.0,1402.0,11.0,1426,1413.0,-13.0,0.0,,0.0,N,91.0,85.0,60.0,1.0,404.0,,,,,,,,,
2019-03-25,DL,DL_CODESHARE,DL,7438,OO,N438SW,7438,11525,EKO,"Elko, NV",14869,SLC,"Salt Lake City, UT",1418,1416.0,-2.0,15.0,1431.0,1610.0,5.0,1620,1615.0,-5.0,0.0,,0.0,N,62.0,59.0,39.0,1.0,200.0,,,,,,,,,
2019-01-27,AA,AA_CODESHARE,AA,5876,YV,N957LR,5876,11298,DFW,"Dallas/Fort Worth, TX",12951,LFT,"Lafayette, LA",1427,1426.0,-1.0,18.0,1444.0,1539.0,6.0,1541,1545.0,4.0,0.0,,0.0,N,74.0,79.0,55.0,1.0,351.0,,,,,,,,,
2019-04-01,AA,AA_CODESHARE,AA,4399,YX,N109HQ,4399,11057,CLT,"Charlotte, NC",11433,DTW,"Detroit, MI",940,1052.0,72.0,19.0,1111.0,1224.0,12.0,1141,1236.0,55.0,0.0,,0.0,N,121.0,104.0,73.0,1.0,500.0,0.0,0.0,0.0,0.0,55.0,,,,
2019-04-06,UA,UA,UA,1418,UA,N86534,1418,11697,FLL,"Fort Lauderdale, FL",13930,ORD,"Chicago, IL",915,905.0,-10.0,15.0,920.0,1103.0,2.0,1136,1105.0,-31.0,0.0,,0.0,N,201.0,180.0,163.0,1.0,1182.0,,,,,,,,,
2018-11-18,B6,B6,B6,423,B6,N967JB,423,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",1105,1105.0,0.0,18.0,1123.0,1405.0,5.0,1418,1410.0,-8.0,0.0,,0.0,N,373.0,365.0,342.0,1.0,2475.0,,,,,,,,,
2018-01-02,AA,AA,AA,297,AA,N123NN,297,12892,LAX,"Los Angeles, CA",12173,HNL,"Honolulu, HI",1650,1657.0,7.0,19.0,1716.0,2055.0,7.0,2057,2102.0,5.0,0.0,,0.0,N,367.0,365.0,339.0,1.0,2556.0,,,,,,,,,
2018-09-24,AA,AA_CODESHARE,AA,4827,PT,N632AE,4827,11057,CLT,"Charlotte, NC",14574,ROA,"Roanoke, VA",1114,1110.0,-4.0,21.0,1131.0,1203.0,6.0,1218,1209.0,-9.0,0.0,,0.0,N,64.0,59.0,32.0,1.0,155.0,,,,,,,,,
2019-08-02,WN,WN,WN,2369,WN,N941WN,2369,14679,SAN,"San Diego, CA",14831,SJC,"San Jose, CA",840,835.0,-5.0,8.0,843.0,940.0,4.0,1010,944.0,-26.0,0.0,,0.0,N,90.0,69.0,57.0,1.0,417.0,,,,,,,,,
2019-08-31,AS,AS_CODESHARE,AS,3295,KS,N682PA,3295,11445,DUT,"Unalaska, AK",10299,ANC,"Anchorage, AK",1455,1618.0,83.0,5.0,1623.0,1824.0,2.0,1710,1826.0,76.0,0.0,,0.0,N,135.0,128.0,121.0,1.0,792.0,76.0,0.0,0.0,0.0,0.0,,,,
2018-10-03,UA,UA_CODESHARE,UA,3654,YX,N640RW,3654,12266,IAH,"Houston, TX",13851,OKC,"Oklahoma City, OK",1450,1446.0,-4.0,21.0,1507.0,1608.0,4.0,1618,1612.0,-6.0,0.0,,0.0,N,88.0,86.0,61.0,1.0,395.0,,,,,,,,,
2019-12-15,DL,DL,DL,2337,DL,N918DH,2337,10397,ATL,"Atlanta, GA",11267,DAY,"Dayton, OH",1628,1623.0,-5.0,12.0,1635.0,1740.0,6.0,1803,1746.0,-17.0,0.0,,0.0,N,95.0,83.0,65.0,1.0,432.0,,,,,,,,,
2018-12-02,DL,DL,DL,1882,DL,N954AT,1882,14492,RDU,"Raleigh/Durham, NC",11433,DTW,"Detroit, MI",1747,1843.0,56.0,14.0,1857.0,2016.0,5.0,1939,2021.0,42.0,0.0,,0.0,N,112.0,98.0,79.0,1.0,501.0,3.0,0.0,17.0,0.0,22.0,,,,
2019-04-03,G4,G4,G4,2177,G4,316NV,2177,11721,FNT,"Flint, MI",14761,SFB,"Sanford, FL",1119,1108.0,-11.0,10.0,1118.0,1330.0,5.0,1356,1335.0,-21.0,0.0,,0.0,N,157.0,147.0,132.0,1.0,988.0,,,,,,,,,
2019-11-29,B6,B6,B6,697,B6,N547JB,697,10721,BOS,"Boston, MA",10397,ATL,"Atlanta, GA",1225,1240.0,15.0,38.0,1318.0,1530.0,16.0,1520,1546.0,26.0,0.0,,0.0,N,175.0,186.0,132.0,1.0,946.0,12.0,0.0,11.0,0.0,3.0,,,,
2018-12-25,WN,WN,WN,2856,WN,N7719A,2856,15304,TPA,"Tampa, FL",10792,BUF,"Buffalo, NY",700,655.0,-5.0,18.0,713.0,926.0,2.0,940,928.0,-12.0,0.0,,0.0,N,160.0,153.0,133.0,1.0,1053.0,,,,,,,,,
2018-09-23,WN,WN,WN,4829,WN,N919WN,4829,12889,LAS,"Las Vegas, NV",13891,ONT,"Ontario, CA",1435,1432.0,-3.0,30.0,1502.0,1538.0,3.0,1530,1541.0,11.0,0.0,,0.0,N,55.0,69.0,36.0,1.0,197.0,,,,,,,,,
2018-05-20,UA,UA_CODESHARE,UA,5698,OO,N908SW,5698,13930,ORD,"Chicago, IL",14696,SBN,"South Bend, IN",1940,1935.0,-5.0,30.0,2005.0,2123.0,4.0,2128,2127.0,-1.0,0.0,,0.0,N,48.0,52.0,18.0,1.0,84.0,,,,,,,,,
2018-07-11,AA,AA_CODESHARE,AA,4863,PT,N641AE,4863,14524,RIC,"Richmond, VA",14100,PHL,"Philadelphia, PA",1457,1448.0,-9.0,12.0,1500.0,1536.0,5.0,1611,1541.0,-30.0,0.0,,0.0,N,74.0,53.0,36.0,1.0,198.0,,,,,,,,,
2018-01-06,UA,UA,UA,965,UA,N73291,965,13495,MSY,"New Orleans, LA",14771,SFO,"San Francisco, CA",1529,1522.0,-7.0,12.0,1534.0,1806.0,6.0,1826,1812.0,-14.0,0.0,,0.0,N,297.0,290.0,272.0,1.0,1911.0,,,,,,,,,
2019-08-18,F9,F9,F9,622,F9,N323FR,622,11292,DEN,"Denver, CO",11433,DTW,"Detroit, MI",1610,1630.0,20.0,18.0,1648.0,2136.0,11.0,2107,2147.0,40.0,0.0,,0.0,N,177.0,197.0,168.0,1.0,1123.0,13.0,0.0,27.0,0.0,0.0,,,,
2019-02-07,DL,DL,DL,2473,DL,N349DX,2473,10397,ATL,"Atlanta, GA",10721,BOS,"Boston, MA",1839,1837.0,-2.0,33.0,1910.0,2104.0,18.0,2110,2122.0,12.0,0.0,,0.0,N,151.0,165.0,114.0,1.0,946.0,,,,,,,,,
2019-10-11,AA,AA_CODESHARE,AA,5215,OH,N586NN,5215,14685,SAV,"Savannah, GA",11057,CLT,"Charlotte, NC",1745,1735.0,-10.0,12.0,1747.0,1833.0,15.0,1906,1848.0,-18.0,0.0,,0.0,N,81.0,73.0,46.0,1.0,213.0,,,,,,,,,
2018-10-01,UA,UA,UA,289,UA,N439UA,289,10849,BZN,"Bozeman, MT",11292,DEN,"Denver, CO",1351,1339.0,-12.0,14.0,1353.0,1502.0,7.0,1523,1509.0,-14.0,0.0,,0.0,N,92.0,90.0,69.0,1.0,524.0,,,,,,,,,
2018-09-06,AA,AA_CODESHARE,AA,5526,OH,N599NN,5526,11057,CLT,"Charlotte, NC",15016,STL,"St. Louis, MO",930,927.0,-3.0,23.0,950.0,1013.0,3.0,1026,1016.0,-10.0,0.0,,0.0,N,116.0,109.0,83.0,1.0,575.0,,,,,,,,,
2018-01-30,VX,VX,VX,1352,VX,N364VA,1352,14771,SFO,"San Francisco, CA",10721,BOS,"Boston, MA",930,919.0,-11.0,23.0,942.0,1744.0,12.0,1815,1756.0,-19.0,0.0,,0.0,N,345.0,337.0,302.0,1.0,2704.0,,,,,,,,,
